pano,pmes,conglome,submuestra,vivienda,hogar,codperso,dominio,estrato,codpanel,p103,p104,p105,p106,p107,p108,p109a,p109b,p109c,p200n,p200i,p200a,p200b,p200bb,p200c,p200d,p200dd,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p204a,p205a,p206,P206AA,p207a,p207b,p208b1,p208b2,p208b3,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209bb,p209cc,p209h,p209ee,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p222,P223A1,P223A2,P223A3,P223A4,P223A5,P223A6,P223A7,P224,P225,ocu200,i211a,i211b,i212a,i212b,i212c,i212d,ingtot,ingprin,resident,fa_jas16
2016,07,017928,006,0010,11,02,0,0,16041102,2,1,2, ,2,41,6,5, ,2,2,10,7,2016,16,7,2016,28,3,1975,2,2,2,0,2,2,2,2,2,2,2,2,1,2,572,4761,5,5,1,4,99,99,1999,0,11,11,11,11,11,11,66,1, ,2,2, , , , , , , , , , , , , , , , ,4,0,0,0,0,0,0,1,6,4,1, , , , , , ,0,0,1,340.764980146425
2016,07,017928,006,0010,11,03,0,0,16041103,3,1,2, ,1,17,5,4, ,3,3,10,7,2016,16,7,2016,13,12,1998,2,2,2,0,2,2,2,2,2,2,2,2,1,2,572,4761,5,5,1,4,99,3,2015,0,0,3,3,3,3,3,15,2,18,1,2, , , , , , , , , , , , , , , , ,4,0,0,0,0,0,0,1,7,4,1, , , , , , ,0,0,1,368.591407725778
2016,07,017928,006,0010,11,04,0,0,16041104,3,1,2, ,1,15,5,3, ,4,4,10,7,2016,16,7,2016,21,1,2001,2,2,2,0,2,2,2,2,2,2,2,2,1,2,572,4761,5,5,1,4,99,3,2015,3,0,0,0,0,0,3,6,1, ,2,2, , , , , , , , ,2,4,2, , , , ,2,4,0,0,0,0,0,0,1,6,4,4, , , , , , , , ,1,368.591407725778
2016,07,017928,006,0012,11,03,0,0,16041103,3,1,2, ,1,42,9,3, ,3,1,10,7,2016,16,7,2016,11,8,1973,1, , , , , , , , , , , , , ,423,6920,3,5,1,15,3,1,2016,0,8,8,8,8,8,6,46,1, ,1,2,4,1500,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1500,0, , , , ,1500,1500,1,361.49401084048
2016,07,017928,006,0181,11,02,0,0,16041102,3,1,2, ,1,49,10,5, ,2,2,10,7,2016,16,7,2016,16,9,1966,1, , , , , , , , , , , , , ,242,8521,3,2,2, ,3,3,2016,0,9,9,9,9,9,2,47,1, ,2,2,4,1200,0, , ,150,0,0, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1200,0, , ,150,0,1350,1200,1,178.721570040169
2016,07,017928,006,0181,11,03,0,0,16041103,3,1,2, ,2,68,10,5, ,3,2,10,7,2016,16,7,2016,24,11,1947,1, , , , , , , , , , , , , ,241,8530,3,5,1,30,1,6,2000,0,7,7,7,7,7,0,35,1, ,2,2,4,1800,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1800,0, , , , ,1800,1800,1,157.420205518158
2016,07,017941,006,0236,11,01,0,0,16071101,1,1,2, ,1,45,10,5, ,1,1,10,7,2016,16,7,2016,19,6,1971,1, , , , , , , , , , , , , ,219,4210,3,5,2, ,1,6,2016,0,10,18,10,10,10,10,68,1, ,1,2,4,4500,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,4500,0, , , , ,4500,4500,1,178.721570040169
2016,07,017941,006,0238,11,02,0,0,16071102,3,1,2, ,2,47,10,5, ,2,2,10,7,2016,16,7,2016,28,7,1968,2,1, , , , , , , , , , , , ,263,8412,3,2,2, ,99,99,2012,0,0,0,0,0,0,0,0,2,40,1,2,4,4000,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,4000,0, , , , ,4000,4000,1,157.420205518158
2016,07,017959,006,0008,11,01,0,0,16071101,1,1,2, ,1,46,8,3, ,1,1,10,7,2016,16,7,2016,14,10,1969,1, , , , , , , , , , , , , ,12,8422,3,1,2, ,9999,9999,1991,0,9,9,9,9,9,0,45,1, ,1,1,4,2800,130, , , , ,1, , , , , , , , ,4,0,0,0,0,0,0,1,6,4,1,2800,130, , , , ,2930,2930,1,178.721570040169
2016,07,017959,006,0008,11,03,0,0,16071103,3,1,2, ,2,17,6,5, ,3,3,10,7,2016,16,7,2016,18,8,1998,2,2,2,0,2,2,2,2,2,2,2,2,1,2,574,4789,5,5,1,3,9999,9999,2014,5,5,5,5,5,0,5,30,1, ,1,2, , , , , , , , , , , , , , , , ,4,0,0,0,0,0,0,1,6,4,1, , , , , , ,0,0,1,404.626550977279
2016,07,017959,006,0008,11,04,0,0,16071104,3,1,2, ,1,14,5,2, ,4,1,10,7,2016,16,7,2016,2,10,2001,2,2,2,0,2,2,2,2,2,2,2,2,1,2,574,4789,5,5,1,3,5,1,2015,4,1,1,1,1,1,4,13,1, ,2,2, , , , , , , , ,2,4,1,2, , , ,1,4,0,0,0,0,0,0,1,6,4,4, , , , , , , , ,1,368.591407725778
2016,07,017959,006,0207,11,01,0,0,16071101,1,1,2, ,1,58,5,2, ,1,1,10,7,2016,16,7,2016,22,3,1958,1, , , , , , , , , , , , , ,945,3811,4,5,1,5,99,99,2012,8,8,8,8,8,8,8,56,1, ,1,2,2,200,49, , , , ,1, , , , , , , , ,5,0,0,0,0,0,0,1,1,4,1,866,212, , , , ,1078,1078,1,178.721570040169
2016,07,017959,006,0208,11,03,0,0,16071103,3,1,2, ,2,35,6,5, ,3,3,10,7,2016,16,7,2016,2,8,1980,1, , , , , , , , , , , , , ,984,1410,4,5,1,30,1,7,2016,0,8,8,8,8,8,8,48,1, ,1,2,4,850,0, , , , ,1, , , , , , , , ,5,0,0,0,0,0,0,1,6,4,1,850,0, , , , ,850,850,1,340.764980146425
2016,07,017959,006,0208,11,06,0,0,16071106,3,1,2, ,2,36,6,5, ,6,6,17,7,2016,23,7,2016,14,10,1979,2,2,2,0,2,2,2,2,1,2,2,2,2,2,572,4772,3,5,1,3,15,5,2016,0,4,0,4,0,0,0,8,1, ,1,2,2,20,14, , , , ,1, , , , , , , , ,4,0,0,0,0,0,0,1,6,4,1,87,61, , , , ,148,148,1,340.764980146425
2016,07,017959,006,0210,11,01,0,0,16071101,1,1,2, ,1,62,4,5, ,1,1,10,7,2016,16,7,2016,18,12,1953,1, , , , , , , , , , , , , ,983,4100,4,5,1,2,13,7,2016,0,0,0,8,8,8,0,24,1, ,2,2,2,200,0, , , , ,1, , , , , , , , ,4,0,0,0,0,0,0,1,5,4,1,866,0, , , , ,866,866,1,178.721570040169
2016,07,017959,006,0210,11,02,0,0,16071102,2,1,2, ,2,62,4,5, ,2,2,10,7,2016,16,7,2016,11,10,1953,1, , , , , , , , , , , , , ,912,5610,3,5,1,3,99,99,2013,0,4,4,4,4,4,0,20,1, ,2,2,3,108,0, , , , ,1, , , , , , , , ,4,0,0,0,0,0,0,1,6,1,1,216,0, , , , ,216,216,1,157.420205518158
2016,07,017959,006,0210,11,04,0,0,16071104,3,1,2, ,2,45,8,3, ,4,4,10,7,2016,16,7,2016,24,11,1970,1, , , , , , , , , , , , , ,945,9499,3,5,2, ,99,99,2013,0,11,11,11,11,11,8,63,1, ,1,2,3,500,0, , ,217,0,0, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1000,0, , ,217,0,1217,1000,1,157.420205518158
2016,07,017959,006,0210,11,06,0,0,16071106,6,1,2, ,2,23,7,2, ,6,6,10,7,2016,16,7,2016,15,12,1992,1, , , , , , , , , , , , , ,451,7830,3,4,2, ,99,99,2014,0,9,9,9,9,9,9,54,1, ,1,2,4,1000,0, , , , ,1, , , , , , , , ,4,0,0,0,0,0,0,1,6,4,1,1000,0, , , , ,1000,1000,1,404.626550977279
2016,07,017965,006,0002,11,07,0,0,16071107,9,1,2, ,1,23,6,5, ,7,7,17,7,2016,23,7,2016,7,5,1993,1, , , , , , , , , , , , , ,564,8010,3,5,2, ,4,7,2016,12,12,12,12,0,12,12,72,1, ,2,2,4,1200,0, , , , ,1, , , , , , , , ,5,0,0,0,0,0,0,1,6,4,1,1200,0, , , , ,1200,1200,1,368.591407725778
2016,07,017965,006,0004,11,01,0,0,16071101,1,1,2, ,1,70,6,5, ,1,1,17,7,2016,23,7,2016,18,9,1945,1, , , , , , , , , , , , , ,782,4520,4,5,1,5,99,99,2014,0,8,8,8,8,8,6,46,1, ,2,2,2,200,30, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,866,130, , , , ,996,996,1,178.721570040169
2016,07,017965,006,0004,11,03,0,0,16071103,3,1,2, ,1,34,6,5, ,3,4,17,7,2016,23,7,2016,7,10,1981,1, , , , , , , , , , , , , ,572,4730,3,5,1,15,99,99,2014,11,11,11,0,11,11,11,66,1, ,1,2,4,900,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,900,0, , , , ,900,900,1,361.49401084048
2016,07,017965,006,0004,11,08,0,0,16071108,3,1,2, ,2,36,8,3, ,8,4,17,7,2016,23,7,2016,8,6,1980,1, , , , , , , , , , , , , ,244,8510,3,5,1,14,5,3,2016,0,8,8,8,8,8,0,40,1, ,1,1,4,850,0, , , , ,1, , , , , , , , ,5,0,0,0,0,0,0,1,6,4,1,850,0, , , , ,850,850,1,340.764980146425
